N	F0	PER	d0	v0	collision
5	-1	0.240000	7.382000	80	0
6	-8	0.220000	8.779000	23	0
6	-4	0.390000	8.039000	80	0
6	-4	0.260000	7.518000	82	0
3	-1	0.310000	6.102000	51	0
6	-7	0.310000	8.414000	40	0
4	-3	0.480000	5.174000	18	0
6	-3	0.260000	5.950000	34	0
7	-2	0.350000	4.252000	77	0
7	-5	0.270000	4.608000	37	0
5	-8	0.450000	7.708000	29	0
4	-6	0.240000	5.793000	34	0
4	-8	0.400000	6.299000	64	0
3	-6	0.310000	6.621000	64	0
3	-8	0.440000	7.843000	82	1
3	-6	0.420000	6.948000	36	0
7	-5	0.370000	4.228000	18	0
4	-2	0.310000	4.638000	33	0
6	-8	0.300000	8.150000	74	0
7	-5	0.440000	4.622000	65	1
8	-8	0.260000	6.665000	21	0
8	-8	0.480000	5.082000	40	0
3	-6	0.370000	7.958000	88	0
4	-3	0.230000	8.248000	80	0
4	-5	0.250000	8.011000	20	0
4	-3	0.210000	6.177000	48	0
6	-6	0.300000	6.556000	29	0
8	-4	0.340000	5.525000	60	0
5	-2	0.200000	8.892000	84	0
6	-4	0.300000	8.080000	54	0
3	-7	0.350000	4.345000	34	0
6	-6	0.220000	8.428000	53	0
6	-3	0.240000	8.358000	45	0
8	-3	0.490000	6.726000	55	0
4	-7	0.230000	8.003000	49	0
3	-8	0.210000	6.686000	60	0
5	-2	0.340000	6.825000	76	0
4	-8	0.470000	6.754000	41	0
5	-6	0.430000	7.414000	29	0
8	-3	0.390000	7.881000	85	0
3	-8	0.330000	7.423000	15	0
3	-4	0.260000	7.160000	36	0
3	-7	0.350000	5.449000	79	0
3	-4	0.440000	8.548000	72	0
5	-3	0.460000	6.599000	56	0
3	-8	0.250000	5.075000	44	0
5	-7	0.310000	4.720000	29	0
4	-4	0.360000	8.301000	38	0
6	-3	0.310000	8.970000	66	0
5	-7	0.490000	5.729000	83	1
8	-5	0.380000	8.636000	12	0
5	-7	0.230000	6.609000	14	0
4	-5	0.340000	8.324000	24	0
8	-6	0.450000	8.838000	47	0
4	-6	0.450000	8.452000	66	0
7	-2	0.490000	7.583000	27	0
6	-6	0.330000	5.435000	67	1
5	-5	0.260000	5.156000	48	0
5	-7	0.430000	8.843000	33	0
7	-2	0.460000	6.880000	57	0
6	-2	0.470000	7.072000	46	0
6	-2	0.360000	4.762000	43	0
7	-1	0.260000	4.174000	36	0
7	-2	0.290000	4.129000	28	0
4	-3	0.440000	4.965000	79	0
4	-2	0.420000	8.858000	21	0
8	-4	0.450000	4.945000	16	0
8	-1	0.250000	6.830000	49	0
8	-6	0.450000	8.552000	19	0
5	-2	0.300000	7.120000	14	0
8	-5	0.390000	7.915000	18	0
6	-2	0.370000	6.232000	88	0
3	-4	0.480000	4.641000	53	0
7	-3	0.310000	4.188000	89	0
4	-6	0.340000	6.829000	52	0
7	-6	0.400000	6.692000	49	0
7	-5	0.420000	7.209000	33	0
7	-5	0.210000	5.130000	68	0
3	-6	0.300000	5.723000	60	0
4	-3	0.200000	4.939000	42	0
5	-8	0.220000	7.784000	16	0
4	-2	0.330000	4.107000	43	0
3	-6	0.330000	8.707000	21	0
6	-2	0.330000	8.299000	79	0
