N	F0	PER	d0	v0	collision
7	-7	0.470000	5.438000	30	0
5	-5	0.200000	8.696000	79	0
3	-5	0.240000	5.340000	80	0
4	-7	0.310000	4.624000	85	0
6	-7	0.440000	4.731000	60	1
8	-3	0.330000	5.335000	79	0
3	-3	0.420000	8.619000	83	0
3	-7	0.490000	8.117000	58	0
6	-5	0.440000	8.761000	85	1
7	-6	0.360000	5.079000	20	0
6	-7	0.230000	4.364000	51	0
8	-2	0.420000	7.054000	35	1
5	-3	0.380000	5.035000	51	0
3	-4	0.210000	4.769000	18	0
6	-4	0.490000	5.554000	75	1
5	-7	0.260000	6.964000	70	0
5	-1	0.220000	7.621000	18	0
8	-2	0.250000	6.803000	45	0
4	-5	0.220000	8.156000	67	0
4	-3	0.440000	6.779000	18	0
4	-4	0.200000	7.033000	50	0
4	-7	0.320000	5.688000	67	0
7	-6	0.300000	7.056000	49	0
7	-4	0.310000	5.322000	31	0
8	-6	0.370000	7.462000	56	0
4	-4	0.370000	4.411000	64	0
4	-7	0.400000	4.542000	26	0
6	-2	0.480000	5.301000	29	0
5	-4	0.330000	6.572000	76	0
6	-1	0.350000	7.269000	71	0
7	-6	0.390000	8.731000	22	0
5	-3	0.420000	6.970000	17	0
8	-6	0.380000	7.627000	44	0
3	-2	0.440000	4.986000	41	0
7	-3	0.300000	6.069000	77	0
6	-2	0.230000	5.803000	58	0
6	-7	0.490000	8.177000	28	0
3	-8	0.410000	4.491000	83	0
7	-8	0.300000	5.117000	63	0
5	-5	0.220000	6.416000	37	0
5	-5	0.390000	5.286000	33	0
8	-1	0.450000	6.869000	65	0
4	-3	0.300000	7.713000	10	0
4	-3	0.460000	8.399000	11	0
8	-3	0.490000	8.745000	64	0
8	-8	0.240000	6.476000	56	0
8	-7	0.370000	8.909000	21	0
5	-1	0.270000	6.443000	87	0
4	-8	0.210000	6.188000	69	0
5	-1	0.450000	4.923000	21	0
4	-7	0.300000	6.193000	28	0
8	-2	0.470000	5.245000	74	0
6	-3	0.230000	5.527000	67	0
4	-8	0.280000	6.617000	36	0
4	-3	0.480000	8.114000	73	0
6	-6	0.220000	4.958000	19	0
7	-6	0.460000	4.101000	34	0
7	-3	0.430000	7.362000	63	0
4	-7	0.270000	5.233000	24	0
5	-5	0.490000	6.362000	55	0
7	-6	0.310000	8.593000	22	0
6	-7	0.340000	4.350000	57	1
3	-4	0.250000	5.653000	32	0
5	-6	0.280000	8.683000	56	0
5	-8	0.230000	4.329000	83	0
7	-8	0.240000	8.958000	62	0
3	-6	0.210000	7.610000	73	0
3	-3	0.370000	5.998000	85	0
7	-6	0.450000	4.265000	48	0
8	-7	0.470000	7.487000	83	1
7	-3	0.300000	7.810000	43	0
7	-8	0.370000	7.118000	47	0
7	-5	0.280000	8.037000	40	0
6	-5	0.220000	7.793000	61	0
7	-4	0.420000	5.470000	45	0
4	-2	0.420000	7.405000	12	0
6	-7	0.400000	8.193000	42	0
8	-7	0.430000	8.140000	33	0
4	-4	0.390000	7.844000	86	0
4	-8	0.230000	8.855000	41	0
3	-2	0.450000	4.969000	31	0
4	-8	0.260000	4.591000	36	0
4	-6	0.480000	5.742000	67	0
6	-5	0.290000	4.954000	50	0
4	-5	0.330000	8.681000	69	0
6	-2	0.350000	6.920000	25	0
7	-6	0.330000	5.605000	77	1
4	-2	0.490000	6.284000	37	0
6	-5	0.420000	8.475000	57	0
6	-3	0.250000	5.357000	43	0
3	-6	0.360000	8.972000	60	0
6	-3	0.260000	7.092000	79	0
5	-3	0.450000	5.906000	66	0
7	-3	0.290000	5.069000	80	0
6	-5	0.270000	8.555000	41	0
6	-6	0.440000	5.327000	19	0
6	-6	0.230000	6.524000	17	0
7	-8	0.220000	6.312000	46	0
5	-2	0.330000	7.632000	34	0
8	-3	0.380000	4.086000	65	0
8	-2	0.470000	4.873000	68	0
5	-4	0.400000	4.401000	38	0
4	-5	0.450000	7.590000	25	0
3	-7	0.250000	6.776000	87	0
8	-1	0.240000	8.000000	19	0
6	-5	0.480000	4.648000	34	0
3	-6	0.350000	6.818000	47	0
8	-3	0.460000	8.367000	86	0
8	-6	0.350000	8.139000	61	0
5	-2	0.440000	6.434000	24	0
6	-1	0.480000	5.581000	66	0
3	-1	0.400000	5.330000	73	0
7	-1	0.290000	8.416000	52	0
5	-5	0.300000	5.552000	70	1
8	-8	0.450000	6.217000	71	0
7	-4	0.350000	6.418000	28	0
3	-6	0.410000	5.689000	72	0
4	-2	0.350000	7.930000	53	0
8	-8	0.200000	8.782000	77	0
4	-6	0.200000	8.592000	66	0
7	-8	0.300000	7.786000	36	0
5	-8	0.240000	7.542000	57	0
3	-8	0.250000	7.175000	35	0
6	-6	0.370000	4.586000	40	0
3	-3	0.290000	5.912000	55	0
4	-4	0.480000	8.384000	67	0
6	-2	0.380000	6.298000	36	0
6	-7	0.360000	4.981000	47	0
3	-7	0.470000	4.024000	87	0
4	-7	0.430000	6.185000	59	0
7	-1	0.430000	5.612000	26	0
4	-6	0.450000	8.796000	60	0
7	-6	0.480000	4.569000	56	0
5	-3	0.270000	4.981000	51	0
4	-3	0.460000	7.478000	64	0
3	-2	0.240000	5.936000	11	0
8	-7	0.290000	4.902000	82	1
4	-6	0.330000	4.030000	84	0
7	-7	0.290000	4.120000	38	0
5	-3	0.470000	5.506000	34	0
8	-4	0.380000	8.915000	26	0
7	-2	0.450000	6.111000	53	0
4	-5	0.270000	8.936000	53	0
4	-4	0.360000	7.242000	16	0
3	-1	0.490000	7.361000	32	0
7	-5	0.380000	7.949000	12	0
3	-2	0.410000	8.678000	87	0
3	-2	0.470000	5.648000	22	0
6	-5	0.460000	7.070000	85	0
6	-3	0.220000	4.812000	77	0
7	-8	0.470000	7.565000	69	1
7	-3	0.330000	6.337000	36	0
7	-6	0.260000	6.061000	16	0
8	-4	0.330000	8.241000	42	0
4	-8	0.390000	5.613000	40	0
6	-2	0.330000	5.170000	50	0
6	-7	0.240000	8.556000	42	0
6	-3	0.350000	7.588000	41	0
4	-7	0.270000	6.409000	55	0
4	-2	0.460000	6.584000	39	0
3	-3	0.200000	8.250000	14	0
7	-1	0.380000	7.349000	61	0
3	-1	0.280000	7.564000	59	0
3	-2	0.470000	4.266000	67	0
6	-4	0.440000	4.551000	33	0
3	-4	0.390000	6.312000	23	0
6	-5	0.260000	5.986000	76	0
5	-5	0.480000	6.912000	15	0
7	-4	0.400000	5.147000	37	0
7	-4	0.310000	8.967000	52	0
8	-4	0.300000	5.380000	75	0
7	-3	0.380000	6.146000	38	0
5	-6	0.490000	4.387000	33	0
4	-5	0.340000	5.647000	39	0
8	-8	0.280000	7.865000	60	0
6	-7	0.250000	4.218000	82	0
4	-3	0.450000	6.962000	27	0
7	-3	0.410000	4.514000	61	0
7	-5	0.320000	8.133000	64	0
3	-7	0.280000	8.402000	30	0
3	-8	0.200000	4.723000	84	0
6	-7	0.330000	4.690000	50	1
4	-2	0.250000	8.320000	54	0
5	-7	0.460000	4.397000	43	0
8	-8	0.270000	8.825000	78	1
8	-3	0.220000	6.960000	65	0
3	-1	0.230000	4.287000	14	0
6	-2	0.250000	7.516000	49	0
4	-2	0.460000	5.922000	29	0
5	-5	0.400000	7.788000	68	0
5	-7	0.360000	5.940000	15	0
5	-7	0.300000	8.190000	76	1
5	-4	0.430000	5.429000	70	0
8	-6	0.380000	8.583000	57	0
8	-5	0.430000	6.949000	15	0
5	-2	0.300000	8.727000	86	0
4	-5	0.260000	6.884000	33	0
5	-8	0.460000	7.107000	18	0
3	-6	0.300000	5.821000	64	0
6	-8	0.410000	7.145000	12	0
5	-8	0.200000	5.833000	50	0
7	-2	0.200000	5.634000	39	0
6	-7	0.350000	6.510000	11	0
6	-4	0.440000	7.084000	43	0
7	-5	0.360000	7.636000	14	0
3	-2	0.230000	4.422000	85	0
8	-5	0.490000	6.581000	84	1
6	-8	0.340000	7.836000	50	0
5	-8	0.360000	5.271000	81	1
5	-2	0.410000	4.239000	32	0
7	-4	0.360000	7.380000	19	0
3	-5	0.460000	6.795000	66	0
5	-3	0.310000	8.062000	72	0
6	-7	0.350000	7.202000	34	0
7	-8	0.350000	6.989000	63	0
8	-7	0.420000	6.304000	27	0
4	-8	0.210000	6.129000	29	0
3	-5	0.340000	8.768000	85	0
6	-5	0.230000	4.341000	24	0
8	-2	0.410000	6.131000	82	0
6	-7	0.290000	8.618000	68	0
6	-1	0.240000	5.283000	16	0
4	-7	0.470000	7.112000	42	0
8	-7	0.260000	5.436000	59	0
8	-4	0.330000	5.283000	55	0
3	-5	0.260000	4.835000	65	0
5	-7	0.410000	5.674000	77	1
7	-3	0.310000	6.282000	56	0
5	-2	0.400000	6.288000	15	0
3	-8	0.380000	7.666000	38	0
7	-5	0.270000	5.779000	18	0
8	-1	0.440000	4.643000	13	0
5	-6	0.380000	6.690000	23	0
5	-4	0.390000	6.517000	52	0
6	-2	0.210000	4.120000	41	0
8	-7	0.410000	6.652000	15	0
4	-8	0.450000	7.672000	63	0
4	-5	0.250000	7.080000	17	0
6	-7	0.470000	5.733000	88	1
5	-6	0.280000	5.337000	13	0
6	-8	0.240000	8.504000	80	0
7	-3	0.430000	8.684000	24	0
7	-7	0.260000	4.011000	64	0
5	-5	0.300000	5.465000	55	1
3	-8	0.200000	6.077000	74	0
8	-2	0.220000	6.795000	29	0
5	-5	0.390000	7.769000	83	1
5	-8	0.200000	7.404000	88	0
5	-7	0.220000	7.926000	72	0
5	-8	0.440000	5.348000	37	0
5	-4	0.420000	6.731000	59	0
8	-7	0.470000	8.430000	22	0
6	-5	0.410000	5.448000	31	0
4	-7	0.490000	8.727000	34	0
3	-5	0.210000	4.837000	65	0
4	-3	0.370000	5.721000	37	0
3	-2	0.340000	4.582000	19	0
4	-6	0.230000	5.180000	78	0
4	-5	0.210000	8.645000	38	0
5	-3	0.390000	4.849000	63	0
5	-2	0.350000	5.524000	11	0
4	-1	0.280000	7.762000	72	0
3	-2	0.480000	4.886000	63	0
6	-6	0.410000	7.103000	84	0
8	-1	0.470000	5.104000	60	0
8	-3	0.400000	4.623000	30	0
4	-8	0.230000	4.379000	77	0
5	-8	0.360000	4.492000	53	0
8	-4	0.400000	8.653000	15	0
3	-2	0.470000	5.806000	80	0
5	-3	0.280000	5.783000	45	0
5	-1	0.240000	6.426000	72	0
3	-4	0.270000	4.091000	74	0
7	-3	0.420000	4.743000	35	0
4	-5	0.420000	4.156000	82	0
6	-3	0.380000	6.947000	47	0
8	-2	0.470000	7.344000	69	0
5	-3	0.430000	7.789000	45	0
5	-2	0.300000	4.757000	87	0
6	-1	0.230000	4.492000	27	0
5	-6	0.480000	6.169000	43	0
3	-8	0.260000	7.160000	70	0
5	-6	0.440000	8.753000	77	0
6	-2	0.220000	4.518000	53	0
4	-1	0.300000	7.801000	17	0
5	-5	0.370000	7.659000	53	0
8	-1	0.420000	6.836000	56	0
5	-3	0.200000	7.035000	79	0
6	-5	0.400000	6.848000	41	0
5	-5	0.490000	5.139000	45	0
3	-2	0.290000	4.547000	38	0
7	-6	0.210000	7.968000	31	0
3	-5	0.360000	6.124000	71	0
7	-2	0.250000	8.441000	47	0
6	-8	0.310000	6.025000	40	0
6	-8	0.460000	6.692000	41	0
5	-6	0.460000	8.974000	69	0
5	-5	0.330000	8.469000	72	0
6	-5	0.290000	5.656000	84	0
8	-4	0.490000	8.344000	68	0
7	-7	0.470000	4.726000	10	0
4	-8	0.490000	5.468000	46	0
7	-4	0.450000	4.758000	36	0
6	-7	0.390000	6.983000	17	0
8	-7	0.430000	5.748000	37	0
5	-6	0.300000	7.717000	39	0
7	-5	0.260000	8.373000	26	0
6	-8	0.330000	7.876000	81	1
6	-5	0.280000	5.809000	17	0
7	-4	0.480000	6.010000	82	1
3	-7	0.460000	4.501000	42	0
3	-2	0.480000	7.545000	67	0
7	-8	0.380000	5.432000	35	0
7	-2	0.270000	8.330000	43	0
5	-5	0.200000	8.067000	64	0
4	-6	0.450000	8.544000	13	0
7	-7	0.280000	5.803000	60	0
4	-2	0.240000	6.069000	26	0
8	-6	0.480000	7.310000	18	0
6	-7	0.410000	4.344000	68	1
7	-6	0.220000	6.455000	33	0
4	-4	0.290000	8.239000	77	0
7	-3	0.420000	8.196000	42	0
4	-6	0.400000	4.568000	25	0
3	-3	0.420000	4.495000	16	0
6	-6	0.470000	8.273000	36	0
3	-2	0.260000	4.492000	35	0
4	-5	0.450000	4.669000	19	0
6	-3	0.210000	7.026000	69	0
8	-4	0.210000	6.821000	18	0
3	-6	0.220000	4.160000	87	0
6	-5	0.240000	6.381000	27	0
4	-8	0.440000	6.620000	52	0
8	-7	0.370000	8.821000	32	0
6	-7	0.260000	6.511000	29	0
7	-8	0.460000	6.541000	83	1
5	-6	0.460000	5.941000	10	0
8	-8	0.460000	8.239000	38	0
5	-3	0.220000	8.308000	59	0
8	-4	0.290000	5.681000	57	0
5	-1	0.440000	4.033000	68	0
6	-2	0.360000	7.861000	43	0
3	-3	0.380000	8.194000	16	0
5	-3	0.270000	8.768000	75	0
7	-5	0.230000	6.958000	23	0
5	-6	0.280000	5.505000	71	0
7	-3	0.450000	4.787000	49	0
3	-2	0.460000	5.721000	81	0
8	-5	0.440000	7.101000	24	0
7	-2	0.200000	6.189000	70	0
4	-7	0.460000	6.054000	40	0
8	-4	0.270000	5.077000	12	0
8	-7	0.470000	4.888000	14	0
3	-5	0.490000	4.629000	34	0
3	-5	0.380000	5.218000	53	0
5	-2	0.280000	5.828000	33	0
8	-4	0.240000	6.493000	60	0
5	-8	0.370000	6.229000	54	0
5	-3	0.390000	5.953000	34	0
6	-3	0.440000	7.621000	36	0
5	-4	0.200000	7.493000	46	0
4	-7	0.290000	7.920000	28	0
3	-6	0.400000	4.414000	67	0
8	-2	0.270000	8.886000	68	0
5	-2	0.340000	6.259000	26	0
8	-2	0.400000	8.639000	63	0
7	-8	0.250000	6.999000	47	0
5	-5	0.490000	6.140000	22	0
8	-7	0.450000	6.776000	89	0
3	-8	0.370000	7.759000	43	0
5	-4	0.260000	5.805000	61	0
7	-6	0.330000	7.984000	47	0
4	-5	0.340000	8.500000	31	0
7	-5	0.340000	8.105000	89	0
7	-8	0.290000	5.390000	71	0
6	-5	0.490000	4.602000	40	1
3	-7	0.360000	4.283000	13	0
5	-3	0.250000	6.981000	50	0
8	-4	0.450000	4.499000	64	0
3	-6	0.430000	5.471000	64	1
7	-8	0.490000	5.134000	10	0
8	-5	0.410000	7.791000	38	0
8	-2	0.260000	6.352000	74	0
6	-8	0.350000	7.130000	37	0
3	-5	0.450000	6.131000	36	0
6	-2	0.330000	8.321000	89	0
7	-3	0.410000	6.411000	81	0
5	-3	0.360000	6.186000	63	0
6	-7	0.370000	6.477000	35	0
6	-5	0.400000	6.233000	16	0
4	-8	0.360000	4.001000	21	0
8	-7	0.220000	8.105000	67	0
4	-6	0.220000	7.916000	56	0
3	-2	0.350000	5.535000	72	0
7	-3	0.240000	8.638000	11	0
7	-6	0.310000	5.604000	26	0
7	-7	0.390000	8.305000	77	0
7	-3	0.330000	8.036000	57	0
3	-5	0.270000	5.095000	27	0
5	-5	0.230000	5.577000	44	0
8	-4	0.210000	6.565000	85	0
7	-2	0.490000	7.543000	32	0
8	-3	0.400000	6.362000	47	0
8	-6	0.280000	7.961000	27	0
5	-4	0.280000	4.864000	34	0
7	-6	0.450000	8.939000	80	1
8	-6	0.300000	7.509000	36	0
7	-2	0.390000	8.299000	79	0
3	-8	0.370000	6.775000	40	0
3	-6	0.440000	8.959000	26	0
3	-3	0.220000	7.657000	65	0
4	-1	0.290000	7.317000	10	0
6	-2	0.420000	7.464000	67	0
4	-2	0.200000	8.641000	25	0
7	-7	0.420000	7.260000	56	0
5	-3	0.360000	4.493000	77	0
4	-6	0.310000	7.647000	64	0
8	-4	0.200000	5.554000	32	0
6	-3	0.300000	8.074000	32	0
7	-2	0.450000	7.942000	28	0
3	-6	0.470000	6.180000	23	0
3	-5	0.280000	8.293000	28	0
4	-2	0.310000	8.621000	82	0
7	-7	0.240000	5.639000	11	0
7	-4	0.430000	8.133000	24	0
4	-5	0.460000	8.891000	20	0
6	-6	0.440000	5.073000	72	1
8	-3	0.310000	6.856000	23	0
3	-7	0.380000	4.235000	60	0
7	-1	0.250000	6.412000	73	0
5	-5	0.350000	5.386000	71	0
3	-4	0.400000	4.536000	73	0
6	-3	0.200000	4.138000	37	0
4	-6	0.290000	7.423000	81	0
8	-8	0.360000	8.829000	23	0
5	-3	0.490000	8.776000	28	0
8	-1	0.450000	4.051000	34	0
6	-4	0.430000	4.257000	30	0
5	-2	0.330000	4.658000	78	0
8	-8	0.280000	5.304000	65	0
8	-4	0.370000	6.106000	29	0
7	-4	0.440000	8.471000	26	0
4	-4	0.460000	6.687000	21	0
3	-1	0.200000	8.346000	36	0
7	-3	0.420000	6.187000	23	0
8	-6	0.240000	8.997000	23	0
6	-4	0.250000	5.534000	88	0
8	-3	0.450000	8.233000	72	0
3	-2	0.370000	4.381000	36	0
8	-2	0.250000	7.443000	15	0
3	-4	0.390000	4.907000	20	0
5	-7	0.470000	5.679000	63	0
3	-7	0.410000	5.425000	85	0
7	-7	0.300000	8.514000	24	0
8	-8	0.220000	4.841000	78	0
5	-3	0.300000	8.124000	82	0
4	-2	0.240000	5.907000	33	0
4	-2	0.290000	6.775000	71	0
7	-6	0.310000	7.453000	65	0
6	-2	0.310000	4.596000	44	0
5	-5	0.470000	4.872000	22	0
5	-7	0.360000	7.762000	70	0
7	-3	0.410000	6.534000	50	0
5	-6	0.460000	7.802000	70	0
4	-8	0.410000	8.461000	57	0
8	-4	0.340000	8.177000	38	0
8	-3	0.430000	6.468000	81	0
5	-5	0.330000	6.468000	68	0
7	-7	0.280000	7.137000	15	0
5	-8	0.200000	5.963000	70	0
8	-4	0.420000	4.011000	67	1
8	-2	0.370000	4.627000	14	0
4	-5	0.350000	6.038000	37	0
5	-7	0.200000	6.495000	39	0
5	-7	0.490000	7.307000	56	0
3	-3	0.400000	5.922000	60	0
3	-5	0.210000	8.005000	24	0
4	-7	0.490000	6.519000	52	0
6	-5	0.210000	7.242000	61	0
8	-5	0.280000	4.612000	18	0
6	-3	0.490000	5.327000	26	0
7	-3	0.280000	4.024000	65	0
6	-8	0.440000	7.532000	24	0
5	-2	0.270000	5.184000	13	0
7	-2	0.490000	6.084000	73	0
7	-1	0.310000	6.419000	33	0
6	-8	0.250000	8.663000	54	0
8	-4	0.450000	6.361000	78	0
6	-7	0.380000	8.190000	77	0
4	-3	0.210000	8.170000	15	0
4	-7	0.240000	6.388000	51	0
6	-6	0.320000	7.160000	54	0
7	-2	0.410000	7.967000	17	0
3	-1	0.340000	7.689000	78	0
7	-6	0.360000	5.905000	33	0
3	-6	0.390000	4.157000	69	0
8	-5	0.370000	7.228000	87	0
4	-6	0.350000	5.937000	59	0
7	-2	0.220000	7.911000	21	0
6	-5	0.200000	6.811000	84	0
8	-8	0.400000	4.502000	28	0
5	-4	0.400000	4.119000	46	0
4	-7	0.330000	8.843000	67	0
6	-7	0.330000	8.434000	45	1
7	-4	0.360000	4.174000	40	1
6	-5	0.280000	7.620000	73	0
3	-4	0.360000	5.889000	36	0
7	-4	0.250000	6.493000	56	0
6	-6	0.210000	4.248000	61	0
6	-5	0.410000	4.459000	45	0
5	-6	0.390000	8.141000	17	0
4	-5	0.410000	6.166000	41	0
5	-4	0.430000	6.671000	25	0
7	-3	0.480000	5.850000	27	0
5	-6	0.460000	7.259000	10	0
3	-8	0.410000	5.392000	77	0
8	-2	0.460000	8.964000	86	0
5	-7	0.220000	8.844000	16	0
5	-6	0.310000	5.947000	73	0
5	-8	0.270000	4.082000	60	0
8	-3	0.230000	7.279000	48	0
6	-3	0.450000	5.701000	28	1
3	-4	0.430000	6.506000	57	0
7	-8	0.490000	8.457000	32	0
3	-3	0.430000	5.694000	53	0
6	-5	0.430000	8.000000	82	0
8	-6	0.300000	6.887000	51	0
6	-5	0.390000	7.694000	54	0
4	-3	0.370000	8.491000	44	0
3	-1	0.220000	4.716000	10	0
8	-4	0.380000	7.910000	51	0
6	-3	0.420000	5.846000	66	0
7	-6	0.380000	8.630000	32	0
5	-5	0.360000	6.739000	11	0
8	-7	0.280000	5.364000	14	0
3	-4	0.350000	7.736000	51	0
8	-4	0.240000	8.330000	70	0
3	-6	0.240000	5.647000	20	0
7	-8	0.310000	5.304000	46	0
8	-5	0.220000	6.632000	20	0
7	-8	0.490000	8.815000	60	0
3	-2	0.220000	5.245000	63	0
6	-1	0.470000	4.611000	89	0
7	-8	0.400000	8.918000	87	0
5	-7	0.490000	4.350000	29	0
8	-2	0.450000	7.504000	17	0
6	-2	0.410000	5.094000	11	0
4	-2	0.300000	7.783000	88	0
3	-3	0.240000	4.432000	76	0
6	-7	0.300000	8.901000	11	0
7	-2	0.370000	8.189000	55	0
3	-1	0.310000	5.433000	76	0
8	-5	0.200000	8.510000	55	0
7	-7	0.200000	8.320000	84	0
4	-2	0.220000	6.351000	69	0
6	-6	0.350000	6.477000	84	0
8	-3	0.350000	6.072000	62	0
4	-6	0.420000	7.669000	15	0
6	-6	0.380000	4.864000	68	0
4	-4	0.250000	4.141000	19	0
5	-2	0.380000	4.067000	64	0
5	-2	0.430000	8.244000	26	0
7	-3	0.300000	5.024000	17	0
4	-1	0.480000	6.604000	24	0
6	-2	0.280000	5.213000	53	0
8	-8	0.480000	5.414000	77	1
6	-7	0.330000	6.678000	44	1
3	-6	0.250000	7.408000	26	0
8	-7	0.290000	6.361000	57	0
6	-4	0.250000	4.313000	33	0
6	-2	0.490000	6.157000	58	0
6	-6	0.270000	7.344000	17	0
5	-2	0.470000	5.043000	41	0
5	-7	0.460000	6.932000	88	1
5	-4	0.430000	7.428000	24	0
6	-7	0.470000	4.063000	66	1
7	-6	0.320000	5.323000	33	0
5	-1	0.260000	7.566000	14	0
6	-4	0.450000	4.865000	56	0
6	-4	0.230000	8.544000	54	0
5	-3	0.430000	8.735000	78	0
8	-6	0.280000	4.998000	85	0
6	-7	0.280000	4.808000	34	0
7	-3	0.480000	7.522000	58	1
7	-7	0.220000	6.639000	73	0
3	-8	0.200000	5.332000	84	0
7	-4	0.480000	6.135000	61	0
3	-7	0.220000	7.977000	47	0
6	-3	0.220000	7.594000	25	0
3	-5	0.360000	6.743000	26	0
3	-3	0.360000	6.553000	55	0
8	-7	0.370000	5.783000	51	1
5	-4	0.410000	4.713000	42	0
7	-6	0.480000	6.906000	68	0
6	-2	0.410000	8.337000	45	0
4	-2	0.370000	5.913000	79	0
4	-7	0.200000	8.566000	68	0
5	-5	0.420000	4.698000	59	0
3	-8	0.290000	6.646000	20	0
6	-4	0.270000	5.534000	43	0
7	-5	0.450000	7.281000	38	1
5	-4	0.430000	7.469000	74	0
8	-5	0.200000	7.760000	27	0
4	-8	0.240000	8.607000	64	0
5	-3	0.360000	5.348000	35	0
5	-7	0.420000	5.196000	31	0
5	-7	0.420000	4.795000	49	0
5	-3	0.350000	7.043000	30	0
7	-4	0.250000	7.463000	39	0
5	-3	0.440000	4.746000	41	0
6	-3	0.490000	8.880000	42	0
5	-6	0.320000	4.222000	83	0
8	-8	0.370000	5.708000	74	0
8	-3	0.450000	6.478000	37	0
4	-3	0.490000	5.221000	56	0
3	-3	0.270000	8.890000	14	0
4	-6	0.210000	6.152000	76	0
6	-2	0.470000	8.715000	17	0
3	-2	0.260000	4.910000	16	0
5	-3	0.410000	5.761000	27	0
8	-5	0.440000	8.028000	88	1
3	-8	0.390000	6.163000	35	0
3	-8	0.280000	6.738000	54	0
7	-8	0.350000	5.835000	47	0
4	-3	0.270000	4.058000	68	0
4	-8	0.310000	5.520000	19	0
7	-4	0.320000	7.263000	15	0
3	-4	0.320000	6.852000	73	0
3	-8	0.230000	5.269000	26	0
8	-7	0.260000	8.299000	10	0
7	-6	0.340000	6.582000	53	0
4	-7	0.390000	5.552000	84	1
5	-4	0.340000	6.006000	60	0
5	-7	0.430000	8.889000	82	0
3	-5	0.400000	7.094000	29	0
5	-5	0.330000	6.420000	68	0
3	-5	0.440000	5.409000	67	1
5	-5	0.400000	8.399000	83	0
4	-4	0.310000	5.845000	21	0
7	-5	0.430000	7.585000	31	0
5	-2	0.270000	8.215000	84	0
6	-4	0.240000	8.905000	32	0
3	-8	0.480000	5.543000	46	0
4	-3	0.370000	8.037000	73	0
3	-7	0.350000	4.235000	84	0
6	-7	0.240000	4.808000	63	0
3	-6	0.440000	5.031000	47	0
3	-5	0.220000	8.510000	75	0
5	-2	0.420000	8.137000	66	0
6	-2	0.480000	5.092000	81	0
6	-6	0.270000	8.796000	80	0
4	-1	0.420000	4.443000	40	0
8	-3	0.310000	4.844000	88	0
8	-6	0.440000	4.772000	13	0
6	-2	0.300000	7.563000	45	0
6	-1	0.280000	6.454000	28	0
4	-8	0.470000	4.145000	12	0
5	-1	0.280000	6.040000	85	0
4	-7	0.450000	4.745000	70	0
4	-8	0.400000	6.008000	36	0
5	-5	0.410000	4.222000	32	0
7	-2	0.330000	8.019000	86	0
5	-2	0.270000	5.288000	67	0
8	-8	0.220000	5.935000	15	0
8	-6	0.220000	8.245000	44	0
6	-3	0.420000	8.240000	17	0
3	-3	0.210000	6.946000	15	0
4	-5	0.340000	8.992000	79	0
4	-4	0.290000	4.251000	44	0
7	-6	0.300000	4.072000	73	0
5	-2	0.230000	6.292000	14	0
6	-1	0.240000	8.434000	32	0
8	-3	0.340000	5.117000	41	0
4	-7	0.340000	4.720000	59	1
4	-8	0.320000	6.304000	13	0
8	-5	0.240000	7.245000	86	0
7	-2	0.480000	8.866000	20	0
4	-5	0.370000	4.088000	58	0
5	-3	0.310000	8.248000	86	0
6	-5	0.260000	6.370000	73	0
7	-4	0.460000	6.558000	17	0
3	-5	0.480000	4.823000	13	0
4	-3	0.330000	6.061000	59	0
3	-7	0.290000	6.537000	35	0
7	-6	0.420000	8.987000	41	0
4	-3	0.440000	4.291000	54	0
7	-1	0.230000	5.306000	41	0
8	-8	0.490000	7.870000	63	1
6	-2	0.210000	5.685000	89	0
3	-5	0.410000	8.410000	73	0
3	-8	0.390000	7.298000	56	0
8	-8	0.410000	5.494000	11	0
6	-3	0.300000	5.920000	60	0
6	-2	0.490000	6.080000	43	0
7	-2	0.280000	7.299000	42	0
7	-1	0.260000	8.672000	25	0
7	-6	0.420000	7.574000	86	0
8	-3	0.440000	5.798000	41	0
6	-6	0.210000	5.875000	63	0
8	-6	0.450000	6.729000	33	0
5	-2	0.450000	6.334000	51	0
5	-4	0.410000	7.003000	39	0
8	-8	0.450000	8.647000	80	0
8	-1	0.320000	7.519000	49	0
5	-8	0.410000	5.828000	53	0
5	-4	0.450000	7.441000	14	0
3	-2	0.340000	7.854000	62	0
7	-4	0.370000	8.405000	87	0
4	-5	0.430000	5.749000	84	0
4	-4	0.370000	7.999000	25	0
3	-8	0.310000	5.271000	86	0
8	-5	0.220000	6.573000	21	0
8	-3	0.220000	8.879000	10	0
8	-2	0.200000	7.375000	10	0
7	-5	0.250000	6.105000	30	0
6	-6	0.300000	6.035000	53	0
6	-4	0.360000	5.682000	79	0
7	-8	0.320000	8.629000	55	0
4	-4	0.260000	8.386000	36	0
5	-2	0.260000	4.896000	21	0
3	-8	0.220000	5.545000	48	0
6	-2	0.220000	7.464000	15	0
6	-8	0.220000	4.785000	84	0
8	-3	0.310000	8.071000	88	0
4	-7	0.380000	7.944000	45	0
5	-7	0.220000	8.598000	18	0
3	-4	0.400000	7.876000	76	0
8	-8	0.320000	6.322000	29	0
8	-7	0.400000	4.572000	71	0
6	-5	0.380000	5.796000	44	0
4	-8	0.490000	7.302000	42	0
6	-8	0.490000	6.901000	20	0
6	-5	0.270000	8.084000	18	0
8	-4	0.470000	5.777000	43	0
7	-2	0.370000	6.191000	11	0
